Date,Solar Irradiance,Temperature,Humidity,Wind Speed,Clear Sky Irradiance
20240101,2.73,14.04,39.75,2.41,3.84
20240102,3.34,13.57,39.81,2.37,3.92
20240103,3.14,12.88,39.56,2.43,3.97
20240104,2.74,12.16,43.5,2.27,3.88
20240105,3.25,12.33,44.62,1.96,3.69
20240106,3.6,13.24,47.5,2.16,3.67
20240107,2.99,12.73,59.06,2.38,3.83
20240108,1.61,12.95,60.88,2.23,3.41
20240109,3.46,12.87,54.69,2.48,3.85
20240110,4.11,12.73,49.69,2.0,4.09
20240111,4.36,14.44,37.25,1.53,4.36
20240112,4.43,15.41,30.62,1.7,4.44
20240113,4.19,17.37,23.94,1.23,4.47
20240114,3.07,15.15,31.19,1.74,4.22
20240115,4.11,15.11,28.94,1.3,4.23
20240116,4.03,15.45,30.0,1.34,4.19
20240117,3.03,15.23,31.31,2.27,3.74
20240118,3.56,14.85,34.56,1.94,3.9
20240119,4.07,15.0,36.5,1.87,4.15
20240120,4.19,15.46,36.12,1.7,4.19
20240121,3.3,16.07,36.81,1.81,4.31
20240122,4.13,17.56,34.88,1.89,4.22
20240123,2.68,17.36,34.62,1.55,4.12
20240124,3.06,14.05,38.5,1.48,4.13
20240125,3.58,14.57,34.56,2.16,4.44
20240126,3.08,15.76,30.5,1.62,4.28
20240127,3.16,17.22,29.88,1.38,4.28
20240128,3.0,18.54,31.88,1.32,4.15
20240129,3.53,18.92,39.75,1.41,3.92
20240130,2.47,19.22,43.69,1.18,3.72
20240131,4.14,20.79,41.94,1.54,4.19
20240201,4.5,18.37,26.81,2.23,4.78
20240202,4.07,17.26,27.75,2.87,4.48
20240203,2.49,18.26,36.69,2.63,4.19
20240204,3.84,17.54,65.62,2.1,4.38
20240205,4.67,16.25,53.62,1.63,4.68
20240206,4.51,16.89,32.88,3.28,4.65
20240207,4.42,17.33,32.75,2.78,4.65
20240208,4.29,16.42,38.12,1.41,5.22
20240209,5.16,17.5,25.81,1.91,5.34
20240210,5.15,16.97,22.38,2.38,5.47
20240211,5.51,16.83,23.12,1.8,5.48
20240212,3.01,16.4,23.0,1.85,5.1
20240213,3.79,16.54,20.88,2.17,4.97
20240214,5.05,17.94,17.81,1.72,5.16
20240215,4.99,18.55,20.31,1.59,5.33
20240216,5.17,19.65,22.06,1.69,5.45
20240217,5.47,21.14,19.38,1.74,5.46
20240218,4.62,21.54,18.88,3.59,5.33
20240219,4.51,22.58,46.25,5.7,4.81
20240220,5.31,18.48,33.12,2.32,5.39
20240221,5.41,19.31,26.0,2.3,5.59
20240222,5.76,18.07,24.06,1.98,5.82
20240223,5.69,18.02,24.56,1.91,5.92
20240224,5.51,18.48,17.94,1.73,6.01
20240225,5.33,17.76,28.38,2.61,5.65
20240226,3.83,18.91,38.5,4.17,5.29
20240227,5.53,18.42,49.44,3.91,5.55
20240228,5.56,19.8,45.12,1.97,5.9
20240229,5.42,22.9,31.62,2.15,5.59
20240301,3.46,22.58,33.69,3.41,5.5
20240302,5.65,17.64,41.06,5.16,6.09
20240303,6.45,13.27,22.69,2.92,6.76
20240304,6.31,15.28,17.62,1.48,6.59
20240305,4.54,15.73,19.25,2.41,6.14
20240306,5.0,18.08,21.44,1.88,6.12
20240307,5.99,20.58,24.38,1.73,6.32
20240308,6.03,19.71,27.75,2.29,6.4
20240309,6.26,21.08,22.69,2.05,6.46
20240310,4.85,23.48,18.62,1.73,6.16
20240311,6.29,24.46,25.81,1.69,6.3
20240312,6.28,24.45,26.81,1.54,6.26
